Hybridization REF	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AG-3574-01A-01T-0822-13	TCGA-AG-3574-01A-01T-0822-13	TCGA-AG-3574-01A-01T-0822-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-138-2	4	3.06032	N	2	1.041963	N	1	0.791098	N	0	0	N	1	0.288412	N	0	0	N
hsa-mir-139	29	22.187318	N	108	56.266001	N	29	22.94184	N	10	10.02232	N	68	19.612022	N	38	31.027754	N
hsa-mir-140	430	328.984364	N	748	389.694153	N	370	292.706235	N	477	478.06465	N	1297	374.070484	N	379	309.461015	N
hsa-mir-141	3849	2944.792598	N	4358	2270.437322	N	3007	2378.831485	N	1084	1086.419456	N	4140	1194.026063	N	8810	7193.539695	N
hsa-mir-142	6615	5061.003647	N	7608	3963.627156	N	11220	8876.11881	N	7939	7956.719615	N	5482	1581.075091	N	3788	3092.977113	N
hsa-mir-143	165289	126459.2943	N	698827	364075.9299	N	331792	262479.9654	N	301455	302127.8387	N	398645	114974.0386	N	349997	285779.4907	N
hsa-mir-144	219	167.552502	N	208	108.364149	N	262	207.267658	N	827	828.84584	N	120	34.609451	N	53	43.275551	N
hsa-mir-145	2933	2243.979395	N	7328	3817.75234	N	3169	2506.98935	N	1989	1993.43939	N	10665	3075.914966	N	2229	1820.022699	N
hsa-mir-1468	4	3.06032	N	4	2.083926	N	2	1.582196	N	1	1.002232	N	10	2.884121	N	9	7.348678	N
hsa-mir-1469	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-146a	405	309.857366	N	115	59.912871	N	66	52.212464	N	86	86.191949	N	200	57.682418	N	95	77.569384	N
hsa-mir-146b	347	265.482731	N	373	194.326095	N	226	178.788133	N	499	500.113753	N	849	244.861866	N	168	137.175331	N
hsa-mir-147	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1470	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1471	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-147b	23	17.596838	N	8	4.167852	N	27	21.359644	N	26	26.058031	N	27	7.787126	N	3	2.449559	N
hsa-mir-148a	184457	141124.3461	N	94688	49330.69508	N	95790	75779.27102	N	90189	90390.2992	N	206981	59695.8233	N	110346	90099.69707	N
hsa-mir-148b	986	754.368798	N	391	203.703762	N	375	296.661725	N	292	292.651735	N	1060	305.716818	N	588	480.11366	N
hsa-mir-149	51	39.019076	N	19	9.898648	N	34	26.89733	N	13	13.029016	N	83	23.938204	N	78	63.688547	N
hsa-mir-150	339	259.362092	N	1017	529.838173	N	1258	995.2012	N	394	394.879396	N	285	82.197446	N	371	302.928857	N
hsa-mir-151	3157	2415.357296	N	5145	2680.449753	N	3267	2584.516948	N	1495	1498.336796	N	7553	2178.376534	N	4560	3723.330421	N
hsa-mir-152	168	128.533426	N	516	268.826448	N	476	376.562616	N	539	540.203032	N	1303	375.800956	N	279	227.809032	N
hsa-mir-153-1	1	0.76508	N	2	1.041963	N	0	0	N	0	0	N	3	0.865236	N	1	0.81652	N
hsa-mir-153-2	66	50.495274	N	92	47.930297	N	23	18.195252	N	31	31.069191	N	145	41.819753	N	67	54.706829	N
hsa-mir-1537	2	1.53016	N	0	0	N	1	0.791098	N	0	0	N	1	0.288412	N	0	0	N
hsa-mir-1538	1	0.76508	N	0	0	N	1	0.791098	N	0	0	N	2	0.576824	N	0	0	N
hsa-mir-1539	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-154	11	8.415879	N	10	5.209815	N	14	11.075371	N	26	26.058031	N	40	11.536484	N	11	8.981718	N
hsa-mir-155	282	215.752536	N	292	152.126594	N	129	102.051633	N	101	101.225429	N	363	104.69359	N	116	94.7163	N
